timesteps,y
5000,4.479166666666667
10000,6.541666666666668
15000,7.109375000000001
20000,8.119791666666666
25000,9.140120967741932
30000,10.142736486486488
35000,11.31686046511628
40000,12.04464285714286
45000,12.948102678571429
50000,13.586189516129034
55000,14.094209558823529
60000,14.70481418918919
65000,15.306712962962962
70000,15.625359195402302
75000,16.31518817204301
80000,16.619002525252522
85000,17.8590625
90000,18.7278125
95000,19.708437500000002
100000,20.666875
105000,21.5753125
110000,22.228125
115000,22.676249999999996
120000,23.217187499999998
125000,23.868124999999996
130000,24.020937500000006
135000,24.6084375
140000,24.971249999999994
145000,25.5975
150000,26.03625
155000,26.490625
160000,27.303437499999998
165000,27.970624999999995
170000,28.560624999999998
175000,28.674687499999997
180000,29.034062499999997
185000,29.435
190000,30.09468750000001
195000,30.981250000000003
200000,31.6696875
205000,32.24906250000001
210000,33.5171875
215000,34.58937500000001
220000,35.10874999999999
225000,36.05
230000,37.22406250000001
235000,37.74
240000,37.979062500000005
245000,38.584375
250000,39.5028125
255000,41.07968749999999
260000,41.83749999999999
265000,42.947812500000005
270000,44.1128125
275000,44.53906249999999
280000,45.580937500000005
285000,46.030625
290000,46.92000000000001
295000,47.527499999999996
300000,48.62468750000001
305000,49.71718750000001
310000,50.2009375
315000,50.97156250000001
320000,52.12343750000001
325000,52.5925
330000,53.083125
335000,54.043749999999996
340000,55.051875
345000,55.8046875
350000,57.55656249999999
355000,58.836250000000014
360000,59.723124999999996
365000,61.76250000000001
370000,63.700937499999995
375000,64.9428125
380000,66.52187500000001
385000,67.3346875
390000,68.0371875
395000,70.45593749999999
400000,71.90031249999998
405000,72.933125
410000,74.51468750000001
415000,76.31468749999999
420000,77.90875
425000,79.974375
430000,80.885625
435000,81.72937499999999
440000,82.94124999999998
445000,83.765625
450000,84.36843749999997
455000,85.65531250000002
460000,86.85187499999999
465000,88.18500000000003
470000,89.29375000000002
475000,90.3403125
480000,91.90125
485000,93.75437500000001
490000,95.10187499999999
495000,96.43499999999999
500000,99.303125
